date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2021-01-04,0050,6307525,778088986,122.2,124.5,122.0,124.35,2.1,5434
2021-01-05,0050,4962514,616480760,124.2,124.65,123.75,124.6,0.25,6179
2021-01-06,0050,10859755,1367952768,126.1,127.15,124.1,125.95,1.35,9245
2021-01-07,0050,6863448,877015237,126.55,129.0,126.55,128.9,2.95,6299
2021-01-08,0050,13298515,1733821488,130.6,131.25,129.55,131.2,2.3,10629
2021-01-11,0050,10492804,1375120183,131.2,132.3,130.5,132.3,1.1,10995
2021-01-12,0050,11223083,1484059869,132.3,133.15,131.6,132.1,-0.2,11184
2021-01-13,0050,10912897,1465070002,132.75,135.45,132.7,135.3,3.2,8059
2021-01-14,0050,12390589,1660294742,135.0,135.05,133.35,134.05,-1.25,11405
2021-01-15,0050,21933080,2983569891,137.15,138.0,134.4,134.5,0.45,13533
2021-01-18,0050,14495824,1937130062,134.6,134.95,132.1,134.4,-0.1,11800
2021-01-19,0050,12262208,1675696411,135.2,138.1,135.2,137.95,3.55,8222
2021-01-20,0050,30367315,4202770386,138.1,139.5,137.65,138.2,0.25,25701
2021-01-21,0050,14029981,1984425275,138.4,143.25,138.35,143.0,4.8,12122
2021-01-22,0050,24714046,3413371452,138.2,139.0,135.0,137.45,0.0,26235
2021-01-25,0050,14258565,1931915211,137.2,137.3,134.2,135.6,-1.85,15890
